entry_key,title,authors,year,venue,doi,url,citation_locations,claim_supported,notes
jin2017bayesian,Bayesian Methods for Media Mix Modeling with Carryover and Shape Effects,"Jin, Yuxue; Wang, Yueqing; Sun, Yunting; Chan, David; Koehler, Jim",2017,Google Technical Report,,https://research.google/pubs/bayesian-methods-for-media-mix-modeling-with-carryover-and-shape-effects/,"Section 2.1 (Bayesian MMM tools paragraph); Section 2.4 (foundational reference for geometric/delayed adstock + Hill/logistic saturation fit via MCMC); Reference list item 11",YES,"Author list in bib is correct. No arXiv preprint found; PDF available at Google Research storage (pubtools/3806.pdf). Google Research URL confirmed valid. The paper's claim (Bayesian priors regularize carryover and saturation parameters that are poorly identified in short aggregate time-series) is directly supported by the Jin et al. paper. Add url field to bib entry."
sun2017bayesian,Geo-level Bayesian Hierarchical Media Mix Modeling,"Sun, Yunting; Wang, Yueqing; Jin, Yuxue; Chan, David; Koehler, Jim",2017,Google Technical Report,,https://research.google/pubs/geo-level-bayesian-hierarchical-media-mix-modeling/,"Section 2.1 (geo-level hierarchical models partial pooling); Section 2.4 (geo-level hierarchical models identification); Reference list item 24",PARTIAL,"CRITICAL: bib author list is WRONG. Lists 'Sun, Wang, Chan, Travison' but actual authors (from Google Research) are Yunting Sun, Yueqing Wang, Yuxue Jin, David Chan, Jim Koehler. 'Travison, Andrew' does not appear on this paper — likely a phantom author. 'Jin, Yuxue' and 'Koehler, Jim' are missing from bib entry. arXiv ID 1706.09470 in bib is WRONG — that ID resolves to a condensed matter physics paper on composite fermions. Google Research URL confirmed valid. The claim (geo-level hierarchical models partially pool across geographic units) is supported by the real paper. ACTION REQUIRED: fix author list and replace arXiv ID with Google Research URL."
chan2017challenges,Challenges and Opportunities in Media Mix Modeling,"Chan, David; Perry, Mike",2017,Google Technical Report,,https://research.google/pubs/challenges-and-opportunities-in-media-mix-modeling/,"Section 2.1 (collinearity, identification, aggregation bias motivate Bayesian prior structure); Reference list item 37",YES,"Author list in bib is correct. arXiv ID 1710.00957 in bib is WRONG — that ID resolves to a 3D chemotaxis-Navier-Stokes math paper. Google Research page confirmed valid and contains the abstract matching the paper topic (media effectiveness modeling challenges). PDF available via Scholar link. Claim (collinearity, identification, and aggregation bias motivate Bayesian prior structure) is well-supported by the paper abstract. ACTION REQUIRED: replace arXiv ID with Google Research URL."
dew2024mmm,Your MMM is Broken: Identification of Nonlinear and Time-Varying Effects in Marketing Mix Models,"Dew, Ryan; Padilla, Nicolas; Shchetkina, Anya",2024,arXiv preprint,,https://arxiv.org/abs/2408.07678,"Section 2.1 (nonlinear and time-varying effects cause identification failures in standard MMM); Reference list item 17",YES,"arXiv ID 2408.07678 confirmed correct — title and topic match exactly. MINOR ERRORS: bib lists middle author as 'Padilla, Nils' but arXiv metadata shows 'Padilla, Nicolas'; bib lists third author as 'Shchetkina, Irina' but arXiv metadata shows 'Shchetkina, Anya'. The paper's claim (nonlinear and time-varying effects cause systematic identification failures in standard MMM) is directly supported. Add url = {https://arxiv.org/abs/2408.07678} to bib entry. Author name corrections flagged but left to author-list audit agent."
meridian2024google,Meridian: A Flexible Bayesian Marketing Mix Modeling Framework,{Google},2024,GitHub,,https://github.com/google/meridian,"Section 1.2 (tool comparison table); Section 2.1 (Meridian description — hierarchical Bayesian MCMC, DMA resolution, parametric forms); Section 5.8 (geo-panel comparison results); Reference list item 21",YES,"GitHub URL confirmed live (HTTP 200). Claim (hierarchical Bayesian MMM with MCMC sampling, geographic-panel data at DMA resolution, requires pre-specified saturation and carryover functional forms) is consistent with the Meridian documentation. Note: the bib entry is for the GitHub software repository, not an academic paper. No DOI exists for this type of entry. URL field already present in bib note field — should also be a formal url= field."
pymcmarketing2023,PyMC-Marketing: Bayesian Marketing Mix Modeling and Customer Lifetime Value,{PyMC Labs},2023,GitHub,,https://github.com/pymc-labs/pymc-marketing,"Section 1.2 (tool comparison table); Section 2.1 (PyMC-Marketing description — custom priors, response functions, geographic adstock and logistic saturation); Section 3.6 (PyMC-Marketing baseline description); Section 5.8 (geo-panel comparison); Reference list items 22, 55",YES,"GitHub URL confirmed live (HTTP 200). Claim (most flexible Bayesian tool, allowing custom priors and response functions, requires analyst to choose and parameterize functional forms) is consistent with PyMC-Marketing documentation. Software repository entry — no DOI. URL field should be added as formal url= field."
orbit2021uber,Orbit: A Python Package for Bayesian Forecasting with Object-Oriented Design,{Uber Technologies},2021,GitHub,,https://github.com/uber/orbit,"Section 1.2 (tool comparison table — Orbit is Bayesian structural time-series, not purpose-built for MMM); Section 2.1 (same)",PARTIAL,"GitHub URL confirmed live (HTTP 200). Claim (Bayesian structural time-series framework not purpose-built for MMM but adopted in that context) is plausible but weakly cited — the GitHub README does not specifically describe MMM use. An academic reference (e.g., the JMLR/arXiv Orbit paper if one exists) would be stronger. The citation appears at the tool description level, which is appropriate for a software package. No DOI for GitHub entry. URL field should be added as formal url= field."
robyn2022,Robyn: Continuous & Semi-Automated MMM,{Meta Open Source},2022,GitHub,,https://github.com/facebookexperimental/Robyn,"Section 1.2 (tool comparison table); Section 2.1 (ridge regression + Nevergrad, point estimates not posteriors); Section 5.8 (Robyn install failure noted)",YES,"GitHub URL confirmed live (HTTP 200). facebookexperimental/Robyn is the correct repository. Claim (ridge regression + Nevergrad optimizer, point estimates rather than posterior distributions) is consistent with Robyn documentation. Section 5.8 notes Robyn is R-only and pip install fails — this accurately describes the package. URL field should be added as formal url= field."
pymclabs2025comparison,PyMC-Marketing vs. Google Meridian: A Bayesian MMM Comparison,{PyMC Labs},2025,PyMC Labs Blog,,https://www.pymc-labs.io/blog-posts/pymc-marketing-vs-meridian/,Reference list item 55 only (not cited inline in text body),FLAG_FOR_REVIEW,"Blog URL confirmed live (HTTP 200 with redirect). The entry appears only in the References list (item 55) but is not cited inline in the paper body text — no in-text (author, year) reference found. It may have been added to the bibliography as a contextual resource but is effectively an orphan citation. The bib note URL uses www.pymc-labs.io/blog (generic) rather than the specific post URL. Recommend either citing inline where relevant (e.g., Section 5.8 comparison discussion) or removing from bibliography. Not a peer-reviewed source."
chen2024meridian,Improving Marketing Mix Modeling Using ML: An Ensemble Approach,"Chen, Yuxue; Jin, Yuxue; Wang, Yueqing; Chan, David",2024,arXiv preprint / Google Research,,,Not cited in paper body or reference list,FLAG_FOR_REVIEW,"This entry appears in refs.bib but is NOT cited anywhere in TreeMMM_White_Paper.md — neither in the body text nor in the numbered reference list (items 1-55). The bib entry has no arXiv ID, no DOI, and no URL. A Google Research search for the title did not return a confirmed match. The author list overlaps substantially with jin2017bayesian (Jin, Wang, Chan are shared). This appears to be either a placeholder for a paper not yet confirmed to exist, or a misattributed entry. ACTION REQUIRED: either locate the actual paper and add a URL/DOI, or remove this entry from refs.bib as it is uncited and unverified."
