n_customers,n_periods,seed,noise_std,model,mape_promo,rank_promo,r2,wmape,share_rep_visits,share_dtc_advertising,share_samples,share_peer_programs,share_digital_impressions,share_conference,true_share_rep_visits,true_share_dtc_advertising,true_share_samples,true_share_peer_programs,true_share_digital_impressions,true_share_conference
50,18,42,,GLMM-Naive,9.475717043063204,1.0,0.34772965544409284,0.7445510743598618,0.3667539606660754,0.1972132753628074,0.29677822545230065,0.056849626733753246,0.05035250181773367,0.032052409967329616,0.3637014816717346,0.20888178272179783,0.3256209112943989,0.05863420024557062,0.039017278132886773,0.004144345933611256
50,18,42,,GLMM-Oracle,11.905485633427922,1.0,0.24629086695961988,0.805589723779582,0.3982960235480871,0.175279046486324,0.29989662940172795,0.06649043531138749,0.03408944520940225,0.02594842004307129,0.3637014816717346,0.20888178272179783,0.3256209112943989,0.05863420024557062,0.039017278132886773,0.004144345933611256
50,18,42,,BR-Naive,22.305049432062503,0.942857142857143,-9.564792081926006,1.1774753486927647,0.36498807561341773,0.20954151180932476,0.30374335691950377,0.08577335338451535,0.016445234616211928,0.019508467657026483,0.3637014816717346,0.20888178272179783,0.3256209112943989,0.05863420024557062,0.039017278132886773,0.004144345933611256
50,18,42,,BR-Oracle,26.67310514670354,0.942857142857143,-824.6788231969908,2.438317940823882,0.4121348702646315,0.1988362612428682,0.3021108283025976,0.06960531160941134,0.004171591542750166,0.013141137037741104,0.3637014816717346,0.20888178272179783,0.3256209112943989,0.05863420024557062,0.039017278132886773,0.004144345933611256
100,18,42,,GLMM-Naive,8.998411769007998,1.0,0.2818164079708264,0.7633454767236215,0.41143563214811596,0.20042198778192982,0.28313142496526394,0.05524861714471764,0.03677080783269573,0.01299153012727695,0.3718305774499766,0.2068348253880517,0.31406590520231836,0.05914095876883554,0.04316282584285851,0.004964907347959219
100,18,42,,GLMM-Oracle,18.172074643881587,1.0,0.1374422840160615,0.8872423025496177,0.41135662441228327,0.16526093903891875,0.3368604881835622,0.04047824360339616,0.03396224554358095,0.012081459218258699,0.3718305774499766,0.2068348253880517,0.31406590520231836,0.05914095876883554,0.04316282584285851,0.004964907347959219
100,18,42,,BR-Naive,19.253125086806733,0.942857142857143,-1091.2334643470172,3.2778468089397914,0.3856188991004249,0.21486283520511623,0.2771356361582058,0.07630098827018073,0.02248705634889852,0.02359458491717381,0.3718305774499766,0.2068348253880517,0.31406590520231836,0.05914095876883554,0.04316282584285851,0.004964907347959219
100,18,42,,BR-Oracle,21.110618974341122,0.942857142857143,-11.402163535417504,1.1188983817881586,0.41924169051022825,0.18103187317551717,0.31690974776708813,0.056700238738879374,0.010663475399942555,0.015452974408344453,0.3718305774499766,0.2068348253880517,0.31406590520231836,0.05914095876883554,0.04316282584285851,0.004964907347959219
200,18,42,,GLMM-Naive,21.54649489612806,1.0,0.390478548286866,0.7327365900928609,0.38482161598661324,0.1681919137265225,0.3050423973766339,0.10457871408975472,0.034642252621415556,0.0027231061990600335,0.3875306046910472,0.1889228108712846,0.3222308288456603,0.05808326493469671,0.03878285758694033,0.0044496330703708105
200,18,42,,GLMM-Oracle,25.97685749500108,1.0,0.31365519790871754,0.7668009704320098,0.41789739615470906,0.15542125602793652,0.32503157447860787,0.08483237216386569,0.016524145389343523,0.0002932557855372052,0.3875306046910472,0.1889228108712846,0.3222308288456603,0.05808326493469671,0.03878285758694033,0.0044496330703708105
200,18,42,,BR-Naive,22.43246003931774,1.0,-7579.306270871368,4.476713371059469,0.3632245164965573,0.2152327474375868,0.289287832039262,0.0973421068533151,0.03329511159271592,0.0016176855805629092,0.3875306046910472,0.1889228108712846,0.3222308288456603,0.05808326493469671,0.03878285758694033,0.0044496330703708105
200,18,42,,BR-Oracle,26.497371174856045,1.0,-1014.6297929440807,2.469828194498133,0.41220884698498483,0.2054558036436168,0.28331814018281676,0.08104489420322923,0.01327952253222392,0.004692792453128465,0.3875306046910472,0.1889228108712846,0.3222308288456603,0.05808326493469671,0.03878285758694033,0.0044496330703708105
500,18,42,,GLMM-Naive,25.402621563189104,0.942857142857143,0.36915699521913814,0.7151380389357636,0.3897549560022735,0.21384985756522465,0.30855965348664033,0.07077668071891928,0.002669075287544259,0.014389776939398035,0.380086424688483,0.20192054143832677,0.3154573208124006,0.057553743286060687,0.04043998204012131,0.004541987734607592
500,18,42,,GLMM-Oracle,28.940888022641293,0.942857142857143,0.29253356420500154,0.774997173658919,0.4127559391804859,0.1783171038402812,0.325455055395832,0.07126998559954668,0.0010440212969843067,0.01115789468686988,0.380086424688483,0.20192054143832677,0.3154573208124006,0.057553743286060687,0.04043998204012131,0.004541987734607592
500,18,42,,BR-Naive,23.788541806832466,1.0,-49816.339844894625,8.670501020059158,0.3653429547784755,0.22519795819547192,0.30000858697689364,0.08706140476967543,0.021284080046002553,0.0011050152334809793,0.380086424688483,0.20192054143832677,0.3154573208124006,0.057553743286060687,0.04043998204012131,0.004541987734607592
500,18,42,,BR-Oracle,25.356734041003786,1.0,-766.788335501279,2.259296306009339,0.4070084712261921,0.19113050560349887,0.30606651622721426,0.08170391243211005,0.012367004427969574,0.0017235900830151146,0.380086424688483,0.20192054143832677,0.3154573208124006,0.057553743286060687,0.04043998204012131,0.004541987734607592
1000,18,42,,GLMM-Naive,27.308702796207722,0.942857142857143,0.38862924983295555,0.7220487025093157,0.40063943852831313,0.20238828469543257,0.3194864703626873,0.07180117084269096,0.00010058470078875875,0.0055840508700873365,0.378808397453254,0.197586293582719,0.32312359890505404,0.05632478997745942,0.03982882163319674,0.004328098448316745
1000,18,42,,GLMM-Oracle,24.54348569435759,1.0,0.2876649125849722,0.7994282947994821,0.42669588071442666,0.1728290827012974,0.33268996116411237,0.059594211351962544,0.00446846734077465,0.0037223967274263364,0.378808397453254,0.197586293582719,0.32312359890505404,0.05632478997745942,0.03982882163319674,0.004328098448316745
1000,18,42,,BR-Naive,25.216603887822057,1.0,-55654.115099728486,7.31644188044128,0.36781578928580305,0.2223720523911978,0.2953483345284965,0.08890403541536684,0.022224784459261928,0.003335003919873867,0.378808397453254,0.197586293582719,0.32312359890505404,0.05632478997745942,0.03982882163319674,0.004328098448316745
1000,18,42,,BR-Oracle,27.05318183116328,1.0,-45902.1450614569,4.930028213955166,0.4195554617329128,0.1935000558149476,0.29712708170601304,0.07740827868232295,0.009175038055176176,0.003234084008627417,0.378808397453254,0.197586293582719,0.32312359890505404,0.05632478997745942,0.03982882163319674,0.004328098448316745
